Campaign,Budget,Impressions,Clicks,Spend,Orders,Sales,CTR,CPC,Conversion_Rate,ROAS,ACOS,Performance_Label
Campaign 124,100.0,1400.0,7.0,16.84,1.0,43.24,0.5,2.41,14.29,2.5677,38.95,Optimize
Campaign 184,100.0,1600.0,8.0,16.0,1.0,23.49,0.5,2.0,12.5,1.4681,68.11,Optimize
Campaign 122,100.0,2200.0,11.0,15.7,1.0,22.55,0.5,1.43,9.09,1.4363,69.62,Optimize
Campaign 181,130.0,1200.0,6.0,15.41,1.0,24.97,0.5,2.57,16.67,1.6204,61.71,Optimize
Campaign 259,10.0,2000.0,10.0,15.28,1.0,26.86,0.5,1.53,10.0,1.7579,56.89,Optimize
Campaign 326,100.0,1200.0,6.0,15.26,1.0,21.83,0.5,2.54,16.67,1.4305,69.9,Optimize
Campaign 20,8.0,1200.0,6.0,15.26,1.0,16.46,0.5,2.54,16.67,1.0786,92.71,Optimize
Campaign 228,130.0,2400.0,12.0,15.23,1.0,12.69,0.5,1.27,8.33,0.8332,120.02,Pause
Campaign 98,25.0,1200.0,6.0,15.02,1.0,49.53,0.5,2.5,16.67,3.2976,30.33,Scale
Campaign 268,130.0,2800.0,14.0,14.96,1.0,13.86,0.5,1.07,7.14,0.9265,107.94,Pause
Campaign 226,100.0,1200.0,6.0,14.76,1.0,11.65,0.5,2.46,16.67,0.7893,126.7,Pause
Campaign 166,11.0,1800.0,9.0,14.57,1.0,35.23,0.5,1.62,11.11,2.418,41.36,Optimize
Campaign 223,100.0,1400.0,7.0,14.18,1.0,18.77,0.5,2.03,14.29,1.3237,75.55,Optimize
Campaign 140,15.6,1400.0,7.0,14.13,1.0,62.21,0.5,2.02,14.29,4.4027,22.71,Scale
Campaign 296,100.0,2200.0,11.0,14.01,1.0,32.98,0.5,1.27,9.09,2.354,42.48,Optimize
Campaign 141,100.0,1200.0,6.0,13.96,1.0,41.45,0.5,2.33,16.67,2.9692,33.68,Optimize
Campaign 6,5.0,1200.0,6.0,13.91,1.0,59.59,0.5,2.32,16.67,4.284,23.34,Scale
Campaign 100,130.0,1400.0,7.0,13.88,1.0,50.28,0.5,1.98,14.29,3.6225,27.61,Scale
Campaign 220,100.0,1000.0,5.0,13.86,1.0,12.05,0.5,2.77,20.0,0.8694,115.02,Pause
Campaign 312,100.0,3600.0,18.0,13.83,1.0,24.42,0.5,0.77,5.56,1.7657,56.63,Optimize
Campaign 334,10.0,2000.0,10.0,13.8,1.0,22.47,0.5,1.38,10.0,1.6283,61.42,Optimize
Campaign 188,8.0,3800.0,19.0,13.56,1.0,24.42,0.5,0.71,5.26,1.8009,55.53,Optimize
Campaign 275,162.5,1000.0,5.0,13.4,1.0,48.3,0.5,2.68,20.0,3.6045,27.74,Scale
Campaign 234,130.0,1400.0,7.0,13.27,1.0,17.53,0.5,1.9,14.29,1.321,75.7,Optimize
Campaign 23,12.0,1200.0,6.0,13.17,1.0,23.9,0.5,2.19,16.67,1.8147,55.1,Optimize
Campaign 116,100.0,2200.0,11.0,13.16,1.0,11.28,0.5,1.2,9.09,0.8571,116.67,Pause
Campaign 115,20.0,2000.0,10.0,13.11,1.0,31.26,0.5,1.31,10.0,2.3844,41.94,Optimize
Campaign 235,16.82,1600.0,8.0,13.02,1.0,16.82,0.5,1.63,12.5,1.2919,77.41,Optimize
Campaign 13,12.0,2000.0,10.0,13.0,1.0,18.97,0.5,1.3,10.0,1.4592,68.53,Optimize
Campaign 246,100.0,1800.0,9.0,12.96,1.0,17.21,0.5,1.44,11.11,1.3279,75.31,Optimize
Campaign 60,10.0,1200.0,6.0,12.9,1.0,15.78,0.5,2.15,16.67,1.2233,81.75,Optimize
Campaign 331,15.0,1200.0,6.0,12.85,1.0,53.22,0.5,2.14,16.67,4.1416,24.15,Scale
Campaign 139,10.0,2600.0,13.0,12.64,1.0,22.08,0.5,0.97,7.69,1.7468,57.25,Optimize
Campaign 333,100.0,3400.0,17.0,12.64,1.0,30.65,0.5,0.74,5.88,2.4248,41.24,Optimize
Campaign 285,130.0,1200.0,6.0,12.62,1.0,48.32,0.5,2.1,16.67,3.8288,26.12,Scale
Campaign 307,130.0,1000.0,5.0,12.56,1.0,20.67,0.5,2.51,20.0,1.6457,60.76,Optimize
Campaign 258,130.0,1200.0,6.0,12.54,1.0,47.78,0.5,2.09,16.67,3.8102,26.25,Scale
Campaign 110,100.0,1000.0,5.0,12.51,1.0,21.61,0.5,2.5,20.0,1.7274,57.89,Optimize
Campaign 304,100.0,1200.0,6.0,12.49,1.0,32.43,0.5,2.08,16.67,2.5965,38.51,Optimize
Campaign 118,100.0,1400.0,7.0,12.48,1.0,18.65,0.5,1.78,14.29,1.4944,66.92,Optimize
Campaign 182,96.42,1200.0,6.0,12.39,1.0,36.4,0.5,2.06,16.67,2.9379,34.04,Optimize
Campaign 202,20.0,3400.0,17.0,12.33,1.0,22.66,0.5,0.73,5.88,1.8378,54.41,Optimize
Campaign 3,10.0,2400.0,12.0,12.25,1.0,18.65,0.5,1.02,8.33,1.5224,65.68,Optimize
Campaign 45,10.0,1400.0,7.0,12.14,1.0,29.34,0.5,1.73,14.29,2.4168,41.38,Optimize
Campaign 67,20.0,2200.0,11.0,12.12,1.0,45.24,0.5,1.1,9.09,3.7327,26.79,Scale
Campaign 249,130.0,3600.0,18.0,12.09,1.0,14.69,0.5,0.67,5.56,1.2151,82.3,Optimize
Campaign 72,25.0,2000.0,10.0,12.09,1.0,17.16,0.5,1.21,10.0,1.4194,70.45,Optimize
Campaign 101,10.0,1000.0,5.0,12.06,1.0,16.63,0.5,2.41,20.0,1.3789,72.52,Optimize
Campaign 43,10.0,1800.0,9.0,12.05,1.0,34.34,0.5,1.34,11.11,2.8498,35.09,Optimize
Campaign 196,100.0,1200.0,6.0,12.03,1.0,36.39,0.5,2.0,16.67,3.0249,33.06,Scale
Campaign 99,7.0,1000.0,5.0,11.95,1.0,13.32,0.5,2.39,20.0,1.1146,89.71,Optimize
Campaign 144,40.0,2000.0,10.0,11.9,1.0,16.08,0.5,1.19,10.0,1.3513,74.0,Optimize
Campaign 323,130.0,3600.0,18.0,11.9,1.0,17.13,0.5,0.66,5.56,1.4395,69.47,Optimize
Campaign 292,15.0,3000.0,15.0,11.88,1.0,21.21,0.5,0.79,6.67,1.7854,56.01,Optimize
Campaign 146,10.0,2800.0,14.0,11.85,1.0,34.29,0.5,0.85,7.14,2.8937,34.56,Optimize
Campaign 311,100.0,1000.0,5.0,11.83,1.0,15.92,0.5,2.37,20.0,1.3457,74.31,Optimize
Campaign 154,15.0,1000.0,5.0,11.81,1.0,27.57,0.5,2.36,20.0,2.3345,42.84,Optimize
Campaign 318,100.0,3400.0,17.0,11.78,1.0,16.3,0.5,0.69,5.88,1.3837,72.27,Optimize
Campaign 179,150.0,1000.0,5.0,11.78,1.0,11.22,0.5,2.36,20.0,0.9525,104.99,Pause
Campaign 25,100.0,3200.0,16.0,11.72,1.0,27.11,0.5,0.73,6.25,2.3131,43.23,Optimize
Campaign 95,100.0,1000.0,5.0,11.71,1.0,53.4,0.5,2.34,20.0,4.5602,21.93,Scale
Campaign 81,200.0,1200.0,6.0,11.7,1.0,39.98,0.5,1.95,16.67,3.4171,29.26,Scale
Campaign 306,100.0,1000.0,5.0,11.67,1.0,16.06,0.5,2.33,20.0,1.3762,72.67,Optimize
Campaign 287,15.0,1000.0,5.0,11.63,1.0,32.75,0.5,2.33,20.0,2.816,35.51,Optimize
Campaign 274,12.0,1800.0,9.0,11.59,1.0,19.3,0.5,1.29,11.11,1.6652,60.05,Optimize
Campaign 269,100.0,1000.0,5.0,11.52,1.0,42.08,0.5,2.3,20.0,3.6528,27.38,Scale
Campaign 50,10.0,3400.0,17.0,11.47,1.0,13.1,0.5,0.67,5.88,1.1421,87.56,Optimize
Campaign 319,25.0,1400.0,7.0,11.44,1.0,43.4,0.5,1.63,14.29,3.7937,26.36,Scale
Campaign 200,10.0,1000.0,5.0,11.44,1.0,45.73,0.5,2.29,20.0,3.9974,25.02,Scale
Campaign 294,15.0,1800.0,9.0,11.37,1.0,18.77,0.5,1.26,11.11,1.6508,60.58,Optimize
Campaign 135,12.0,1800.0,9.0,11.35,1.0,18.77,0.5,1.26,11.11,1.6537,60.47,Optimize
Campaign 178,12.0,1200.0,6.0,11.32,1.0,41.67,0.5,1.89,16.67,3.6811,27.17,Scale
Campaign 132,50.0,3600.0,18.0,11.29,1.0,18.19,0.5,0.63,5.56,1.6112,62.07,Optimize
Campaign 204,100.0,1800.0,9.0,11.19,1.0,11.03,0.5,1.24,11.11,0.9857,101.45,Pause
Campaign 183,100.0,1000.0,5.0,11.15,1.0,31.58,0.5,2.23,20.0,2.8323,35.31,Optimize
Campaign 55,20.0,2000.0,10.0,11.14,1.0,17.67,0.5,1.11,10.0,1.5862,63.04,Optimize
Campaign 303,100.0,1800.0,9.0,11.13,1.0,18.48,0.5,1.24,11.11,1.6604,60.23,Optimize
Campaign 198,130.0,1600.0,8.0,11.11,1.0,14.77,0.5,1.39,12.5,1.3294,75.22,Optimize
Campaign 31,50.0,1400.0,7.0,11.1,1.0,18.01,0.5,1.59,14.29,1.6225,61.63,Optimize
Campaign 224,100.0,1600.0,8.0,11.08,1.0,18.67,0.5,1.39,12.5,1.685,59.35,Optimize
Campaign 261,20.0,1200.0,6.0,11.07,1.0,15.53,0.5,1.84,16.67,1.4029,71.28,Optimize
Campaign 305,130.0,2800.0,14.0,11.06,1.0,26.08,0.5,0.79,7.14,2.358,42.41,Optimize
Campaign 149,100.0,1200.0,6.0,10.98,1.0,17.25,0.5,1.83,16.67,1.571,63.65,Optimize
Campaign 32,100.0,1000.0,5.0,10.98,1.0,15.46,0.5,2.2,20.0,1.408,71.02,Optimize
Campaign 21,20.0,1200.0,6.0,10.95,1.0,28.79,0.5,1.82,16.67,2.6292,38.03,Optimize
Campaign 109,100.0,1200.0,6.0,10.93,1.0,44.53,0.5,1.82,16.67,4.0741,24.55,Scale
Campaign 329,10.0,3200.0,16.0,10.9,1.0,16.42,0.5,0.68,6.25,1.5064,66.38,Optimize
Campaign 264,130.0,1200.0,6.0,10.88,1.0,16.24,0.5,1.81,16.67,1.4926,67.0,Optimize
Campaign 29,10.0,1000.0,5.0,10.88,1.0,26.82,0.5,2.18,20.0,2.4651,40.57,Optimize
Campaign 107,25.0,1200.0,6.0,10.82,1.0,31.58,0.5,1.8,16.67,2.9187,34.26,Optimize
Campaign 194,130.0,1200.0,6.0,10.82,1.0,17.48,0.5,1.8,16.67,1.6155,61.9,Optimize
Campaign 103,100.0,1000.0,5.0,10.73,1.0,15.66,0.5,2.15,20.0,1.4595,68.52,Optimize
Campaign 254,100.0,2000.0,10.0,10.67,1.0,19.53,0.5,1.07,10.0,1.8304,54.63,Optimize
Campaign 133,15.0,1000.0,5.0,10.67,1.0,18.75,0.5,2.13,20.0,1.7573,56.91,Optimize
Campaign 313,100.0,2400.0,12.0,10.64,1.0,37.48,0.5,0.89,8.33,3.5226,28.39,Scale
Campaign 150,10.0,1600.0,8.0,10.63,1.0,18.05,0.5,1.33,12.5,1.698,58.89,Optimize
Campaign 143,100.0,1000.0,5.0,10.63,1.0,18.17,0.5,2.13,20.0,1.7093,58.5,Optimize
Campaign 87,100.0,1000.0,5.0,10.59,1.0,14.56,0.5,2.12,20.0,1.3749,72.73,Optimize
Campaign 2,10.0,2800.0,14.0,10.58,1.0,25.18,0.5,0.76,7.14,2.38,42.02,Optimize
Campaign 33,10.0,2400.0,12.0,10.54,1.0,17.26,0.5,0.88,8.33,1.6376,61.07,Optimize
Campaign 84,100.0,1200.0,6.0,10.49,1.0,17.95,0.5,1.75,16.67,1.7112,58.44,Optimize
Campaign 10,100.0,3200.0,16.0,10.47,1.0,15.86,0.5,0.65,6.25,1.5148,66.02,Optimize
Campaign 174,100.0,1000.0,5.0,10.47,1.0,46.15,0.5,2.09,20.0,4.4078,22.69,Scale
Campaign 195,100.0,1200.0,6.0,10.39,1.0,15.46,0.5,1.73,16.67,1.488,67.21,Optimize
Campaign 120,20.0,1000.0,5.0,10.38,1.0,31.68,0.5,2.08,20.0,3.052,32.77,Scale
Campaign 152,165.89,2000.0,10.0,10.34,1.0,16.71,0.5,1.03,10.0,1.6161,61.88,Optimize
Campaign 270,100.0,1000.0,5.0,10.32,1.0,16.56,0.5,2.06,20.0,1.6047,62.32,Optimize
Campaign 290,22.5,2200.0,11.0,10.23,1.0,18.04,0.5,0.93,9.09,1.7634,56.71,Optimize
Campaign 263,15.0,1000.0,5.0,10.23,1.0,26.18,0.5,2.05,20.0,2.5591,39.08,Optimize
Campaign 209,10.0,2400.0,12.0,10.22,1.0,16.47,0.5,0.85,8.33,1.6115,62.05,Optimize
Campaign 82,10.0,1000.0,5.0,10.2,1.0,46.06,0.5,2.04,20.0,4.5157,22.15,Scale
Campaign 212,10.0,2000.0,10.0,10.17,1.0,24.41,0.5,1.02,10.0,2.4002,41.66,Optimize
Campaign 7,12.0,2400.0,12.0,10.15,1.0,23.67,0.5,0.85,8.33,2.332,42.88,Optimize
Campaign 123,100.0,1400.0,7.0,10.12,1.0,10.3,0.5,1.45,14.29,1.0178,98.25,Optimize
Campaign 257,50.0,1800.0,9.0,10.07,1.0,12.59,0.5,1.12,11.11,1.2502,79.98,Optimize
Campaign 266,50.0,1600.0,8.0,10.05,1.0,17.19,0.5,1.26,12.5,1.7104,58.46,Optimize
Campaign 44,100.0,1000.0,5.0,9.91,1.0,23.31,0.5,1.98,20.0,2.3522,42.51,Optimize
Campaign 309,100.0,3000.0,15.0,9.9,1.0,27.39,0.5,0.66,6.67,2.7667,36.14,Optimize
Campaign 295,17.0,1000.0,5.0,9.9,1.0,15.63,0.5,1.98,20.0,1.5788,63.34,Optimize
Campaign 325,100.0,1000.0,5.0,9.85,1.0,11.24,0.5,1.97,20.0,1.1411,87.63,Optimize
Campaign 148,100.0,1400.0,7.0,9.8,1.0,16.47,0.5,1.4,14.29,1.6806,59.5,Optimize
Campaign 310,29.87,1800.0,9.0,9.78,1.0,24.49,0.5,1.09,11.11,2.5041,39.93,Optimize
Campaign 227,100.0,1200.0,6.0,9.72,1.0,41.09,0.5,1.62,16.67,4.2274,23.66,Scale
Campaign 284,100.0,1200.0,6.0,9.61,1.0,24.27,0.5,1.6,16.67,2.5255,39.6,Optimize
Campaign 348,10.0,3400.0,17.0,9.58,1.0,18.07,0.5,0.56,5.88,1.8862,53.02,Optimize
Campaign 168,100.0,3800.0,19.0,9.55,1.0,15.15,0.5,0.5,5.26,1.5864,63.04,Optimize
Campaign 42,100.0,2000.0,10.0,9.43,1.0,14.9,0.5,0.94,10.0,1.5801,63.29,Optimize
Campaign 237,75.0,1400.0,7.0,9.37,1.0,33.35,0.5,1.34,14.29,3.5592,28.1,Scale
Campaign 240,100.0,3000.0,15.0,9.31,1.0,34.33,0.5,0.62,6.67,3.6874,27.12,Scale
Campaign 343,10.0,3000.0,15.0,9.29,1.0,12.81,0.5,0.62,6.67,1.3789,72.52,Optimize
Campaign 189,35.0,1400.0,7.0,9.25,1.0,15.47,0.5,1.32,14.29,1.6724,59.79,Optimize
Campaign 207,130.0,1200.0,6.0,9.25,1.0,15.87,0.5,1.54,16.67,1.7157,58.29,Optimize
Campaign 308,20.0,1400.0,7.0,9.2,1.0,15.17,0.5,1.31,14.29,1.6489,60.65,Optimize
Campaign 136,30.0,2200.0,11.0,9.2,1.0,16.2,0.5,0.84,9.09,1.7609,56.79,Optimize
Campaign 36,50.0,1200.0,6.0,9.17,1.0,25.05,0.5,1.53,16.67,2.7317,36.61,Optimize
Campaign 238,130.0,1400.0,7.0,9.16,1.0,13.67,0.5,1.31,14.29,1.4924,67.01,Optimize
Campaign 298,130.0,1000.0,5.0,9.08,1.0,28.62,0.5,1.82,20.0,3.152,31.73,Scale
Campaign 280,65.0,1000.0,5.0,9.06,1.0,24.77,0.5,1.81,20.0,2.734,36.58,Optimize
Campaign 190,104.52,1200.0,6.0,9.03,1.0,14.68,0.5,1.5,16.67,1.6257,61.51,Optimize
Campaign 30,100.0,2000.0,10.0,8.93,1.0,14.65,0.5,0.89,10.0,1.6405,60.96,Optimize
Campaign 39,12.0,2600.0,13.0,8.89,1.0,13.24,0.5,0.68,7.69,1.4893,67.15,Optimize
Campaign 121,20.0,1400.0,7.0,8.89,1.0,25.73,0.5,1.27,14.29,2.8943,34.55,Optimize
Campaign 129,15.0,1000.0,5.0,8.79,1.0,27.62,0.5,1.76,20.0,3.1422,31.82,Scale
Campaign 241,10.0,2200.0,11.0,8.78,1.0,15.23,0.5,0.8,9.09,1.7346,57.65,Optimize
Campaign 251,30.0,1200.0,6.0,8.71,1.0,21.79,0.5,1.45,16.67,2.5017,39.97,Optimize
Campaign 75,10.0,2400.0,12.0,8.7,1.0,17.45,0.5,0.72,8.33,2.0057,49.86,Optimize
Campaign 338,10.0,1000.0,5.0,8.68,1.0,28.76,0.5,1.74,20.0,3.3134,30.18,Scale
Campaign 9,25.0,1200.0,6.0,8.68,1.0,22.65,0.5,1.45,16.67,2.6094,38.32,Optimize
Campaign 151,20.0,1200.0,6.0,8.67,1.0,39.78,0.5,1.45,16.67,4.5882,21.79,Scale
Campaign 297,6.0,3200.0,16.0,8.62,1.0,14.35,0.5,0.54,6.25,1.6647,60.07,Optimize
Campaign 222,130.0,1000.0,5.0,8.62,1.0,12.11,0.5,1.72,20.0,1.4049,71.18,Optimize
Campaign 276,10.0,1200.0,6.0,8.61,1.0,35.21,0.5,1.43,16.67,4.0894,24.45,Scale
Campaign 210,25.0,1200.0,6.0,8.56,1.0,23.72,0.5,1.43,16.67,2.771,36.09,Optimize
Campaign 244,130.0,3400.0,17.0,8.56,1.0,15.74,0.5,0.5,5.88,1.8388,54.38,Optimize
Campaign 28,10.0,1400.0,7.0,8.5,1.0,16.4,0.5,1.21,14.29,1.9294,51.83,Optimize
Campaign 267,100.0,1800.0,9.0,8.46,1.0,24.6,0.5,0.94,11.11,2.9078,34.39,Optimize
Campaign 164,150.0,1800.0,9.0,8.44,1.0,24.18,0.5,0.94,11.11,2.8649,34.9,Optimize
Campaign 52,7.0,1000.0,5.0,8.38,1.0,21.96,0.5,1.68,20.0,2.6205,38.16,Optimize
Campaign 169,25.0,1600.0,8.0,8.26,1.0,14.12,0.5,1.03,12.5,1.7094,58.5,Optimize
Campaign 117,130.0,3000.0,15.0,8.13,1.0,23.9,0.5,0.54,6.67,2.9397,34.02,Optimize
Campaign 243,100.0,1000.0,5.0,8.11,1.0,15.79,0.5,1.62,20.0,1.947,51.36,Optimize
Campaign 61,12.0,2000.0,10.0,8.06,1.0,26.26,0.5,0.81,10.0,3.2581,30.69,Scale
Campaign 147,25.0,2200.0,11.0,8.04,1.0,22.11,0.5,0.73,9.09,2.75,36.36,Optimize
Campaign 252,100.8,1400.0,7.0,7.94,1.0,10.48,0.5,1.13,14.29,1.3199,75.76,Optimize
